ID,Starttidspunkt,Færdiggørelsestidspunkt,Mail,Navn,What is your gender?,What is your age?,What is your living situation?,Are you enrolled in an academic institute?,What kind of academic institute are you going to?,What academic degree are you currently pursuing?,Where is your home university located?,What is your current average grade?,What is the main reason you are studying?,What are your current studies?,How did your financial situation impact your choice of studies?,What would you have liked to study if money would not affect you?,Did your parents attend university?,How do you finance yourself/studies?,Do you have a job besides your studies?,What is the motivation for your work?,How many hours do you work a week?,What is your brutto monthly salary in euros?,"What is your average monthly income from all sources in euros? (Parents, Work, State, other)",Cash from support,"How often do you interact with your friends outside of university on a weekly basis? (Party, Resturant, Bar...)",Studying comes naturally to me.,I often feel stressed.,I like going to university.,University equals meeting my friends.,I have plenty of leisure time.,I would like to spend more time with my friends.,I am happy.
2,06.03.22 14:01,06.03.22 14:04,anonymous,,Male,24,Living with other people,Yes,Public,Master,Denmark,2.2,Because it is a necessity to get a good job;Because I can see new cities and meet new places;,Economics,Yes,,Mother;,SU (Statens Uddannelsesstøtte);Personal savings;Working;,No,,,0,1750,1750,More than five days a week,3,3,3,3,3,3,3
3,06.09.22 14:23,06.09.22 14:28,anonymous,,Female,22,Living with parents,Yes,Public,Bachelor,Germany,2.5,Because it is a necessity to get a good job;,Business,Yes,Arts,Both;,Working;,No,,,0,250,250,Once or twice a week,3,3,3,3,3,3,3
10,06.12.22 17:57,06.12.22 18:00,anonymous,,Male,24,Living with other people,Yes,Public,Master,Denmark,1.9,Because I can see new cities and meet new places;Because it is a necessity to get a good job;,Economics,Yes,History,Mother;,SU (Statens Uddannelsesstøtte);Scholarships;Working;,Yes,"To finance the nonnecessities (sociallife, party, travel);",20.Nov,750,1750,1000,More than five days a week,4,2,4,4,4,5,3
11,06.12.22 18:43,06.12.22 18:46,anonymous,,Female,21,Living with other people,Yes,Public,Bachelor,Germany,1.3,Because it is a necessity to get a good job;Because I did not know what else to do;Because I can see new cities and meet new places;,Business,Yes,Arts,None;,Working;Family;Scholarships;,Yes,"To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",20.Nov,1250,1750,500,Once or twice a week,2,4,4,4,1,5,3
12,6.13.22 8:45:12,6.13.22 8:49:38,anonymous,,Female,21,Living alone,Yes,Public,Bachelor,Germany,2.4,Because it is a necessity to get a good job;,Engineering,No,History,Both;,Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);",10.Jan,250,750,500,Once or twice a week,3,5,4,4,2,4,3
13,6.13.22 8:53:05,6.13.22 8:55:45,anonymous,,Female,19,Living alone,Yes,Public,Bachelor,Germany,2.5,Because it is a fun time;,Business,Yes,Political science,Both;,Working;Family;Personal savings;,No,,,0,750,750,More than five days a week,2,4,2,2,5,2,3
14,6.13.22 8:50:31,6.13.22 8:56:05,anonymous,,Male,25,Living with other people,Yes,Public,PhD,Germany,1.6,Because it is a necessity to get a good job;,Law,No,Law,None;,"State loan (BAFog, Student loan..);Working;",Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Gain expertise and get experience in the field;Personal interest;",20.Nov,1750,1750,0,Once or twice a week,4,3,4,4,2,4,4
15,6.13.22 8:52:31,6.13.22 8:56:29,anonymous,,Male,23,Living with parents,Yes,Public,Bachelor,Germany,1.7,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;,Business,No,,Both;,Working;Scholarships;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);",20.Nov,250,750,500,Once or twice a week,3,2,5,4,3,4,4
16,6.13.22 8:53:16,6.13.22 8:56:40,anonymous,,Male,25,Living with other people,Yes,Public,Bachelor,Germany,1.7,Because it is a necessity to get a good job;Because I did not know what else to do;Because I can see new cities and meet new places;Because it is a fun time;,Economics,No,Philosphy,Mother;,Working;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;Personal interest;",20.Nov,1250,1250,0,three to four days a week,4,2,4,4,2,3,5
17,6.13.22 8:52:53,6.13.22 8:56:54,anonymous,,Female,21,Living alone,Yes,Public,Bachelor,Germany,1.8,Because it is a necessity to get a good job;Because all my friends did it;Because it is a fun time;Because I can see new cities and meet new places;,Business,Yes,Psychology,Father;,Family;Working;Personal savings;,Yes,"To finance necessities (Food, studies, rent);Experience for future job applications;Gain expertise and get experience in the field;To finance the nonnecessities (sociallife, party, travel);Personal interest;",20.Nov,1750,2250,500,More than five days a week,4,5,4,3,1,3,4
